episodes,rewards_total
263,-158.43952741864788
264,-153.84936457748142
265,-143.898238309165
266,-154.96501831140063
267,-152.6869314528945
268,7.364167530448569
269,-175.33017466162863
270,-174.21266100645113
271,-175.56580009184125
272,-170.81094901890617
273,-175.61943485003707
274,-56.60670224019304
275,-10.849162443213281
276,-27.626072378652353
277,-23.955056764209413
278,-32.49808150512961
279,-55.21108588847693
280,1.4327980872286439
281,3.5514227810703396
282,0.3954458890356811
283,1.0841693812083442
284,0.17220448329047144
285,-9.619960396059014
286,-2.1721797504881017
287,-17.39979077564207
288,-155.55385857701995
289,-13.6811607218836
290,-6.520938877363722
291,-1.7135437756774579
292,-11.278646123430804
293,-18.54821469754144
294,-178.28583257632738
295,-11.496654237293761
296,-27.16660810866428
297,-26.607964516995526
298,-39.14969389526677
299,-17.61795791229906
300,-7.949622335765412
301,-10.126564105905125
302,-8.360529760793913
303,-0.8416699901290059
304,-20.58639921865229
305,0.43593253533246923
306,1.6947756344998197
307,-8.353431526849096
308,-0.17108586647963264
309,-17.970339790275084
310,1.2594817380451246
311,-6.590741540145046
312,-8.351613323872659
313,-18.890583000898154
314,-4.412599085874838
315,-23.607331180308645
316,-3.368423028525786
317,-15.681077676647568
318,-17.31337128783919
319,-7.028323721354344
320,-1.8181040439582006
321,-7.919532668861219
322,-28.089657606370878
323,-10.928168803508989
324,-1.9661807899886767
325,-5.402699662116714
326,-18.89243625056573
327,-16.933998058973188
328,-10.383394546556104
329,-4.58580995815495
330,0.646471117230206
331,-10.285718182187509
332,-0.11695457208078608
333,-2.0337715333546065
334,-13.89752458657889
335,10.218713036589655
336,-16.1677326144832
337,-9.348312179790021
338,3.9984593466045837
339,-2.5131678630038827
340,-11.722947454907121
341,9.380261131912135
342,-17.033254578412297
343,-5.462487234371398
344,0.753954566142589
345,5.075076007075605
346,-21.071662669144597
347,6.836297009023305
348,-0.9406662963450358
349,-28.97495054774603
350,-29.698627174763196
351,14.499313151396144
352,-11.689994248456983
353,-3.058764970403484
354,-16.035354177838474
355,-7.204023691556678
356,-7.18745358623185
357,7.53550950885969
358,-46.417143025464824
359,-11.515369470014285
360,-12.135014692230964
361,-10.621735197410853
362,-7.129511313160407
363,-7.531825259992804
364,-7.941575845443971
365,-61.93457223166892
366,-14.553380267341531
367,-22.514180902560646
368,5.27246263778509
369,-173.3355106774922
370,-170.94629866837624
371,-173.35213075698942
372,-163.72160399691964
373,-5.274526520715547
374,0.6582879304643683
375,5.280420202727637
376,-31.132181636054007
377,0.7765258610319563
378,-4.833128231651052
379,6.346975761284323
380,-0.2745584948412336
381,0.4854908330937633
382,8.338579617304092
383,5.338610180283563
384,5.338576839063904
385,8.338590809674677
386,8.338592627076622
387,8.338576140802147
388,8.33857104667921
389,8.33857915149077
390,8.338579357807642
391,8.338574127818749
392,8.338577668891432
393,8.338573818199013
394,8.338581726415882
395,8.338582008065643
396,8.338582634897591
397,8.3385890628569
398,8.338573868237173
399,8.338586381404582
400,8.338581646624185
401,8.338585683627887
402,8.338577355358101
403,8.33858114282894
404,8.33857744981701
405,8.338584356607669
406,8.33857374645007
407,8.338567024885272
408,8.338574548110493
409,8.338569688728313
410,8.338579215324504
411,8.338579325290436
412,8.338571593694404
413,8.33857375882361
414,8.338576148896411
415,8.338576472054744
416,8.3385641140287
417,8.338585976198114
418,8.338573118748371
419,8.338572085317235
420,8.338580610951585
421,8.338575024184841
422,8.33857360251936
423,8.3385744554263
424,8.338562456738345
425,8.338579694654662
426,8.33857578323829
427,8.338576613795446
428,8.338581283581501
429,8.338579709266362
430,8.338581658424559
431,8.338574286462283
432,8.338575738734814
433,8.338576022996698
434,8.338571139845435
435,8.338584495189991
436,8.338576587225788
437,8.338575964386198
438,8.338580392486115
439,8.338581752773177
440,8.33856791299321
441,8.338574214197177
442,8.338577707196453
443,8.338575770385365
444,8.338573155209254
445,8.338576678579543
446,8.338582695391509
447,8.338575766521238
448,8.338575236217473
449,8.33857905457003
450,8.338570335680075
451,8.338577120083869
452,8.338581927475087
453,8.338578286480438
454,8.338570212673467
455,5.339939504439428
456,3.194846843903214
457,3.127817759665554
458,-14.92784636900736
459,-168.39086300731967
460,-169.3837982471272
461,-168.44126499919165
462,-167.10200938603117
463,-165.83880376933104
464,-10.020941602401212
465,-26.95983409934796
466,-16.786926307079494
467,-61.42750181866495
468,-166.08303902332477
469,-165.69328843171027
470,1.6084632059118675
471,-21.326547304229187
472,1.955279002557198
473,1.3509027958480786
474,-22.379505223229373
475,4.742244032051719
476,5.446034860575782
477,5.370957276938839
478,-10.726306392914822
479,1.4103346626727742
480,-20.787041434975784
481,1.374686041630742
482,1.3082388307341937
483,1.4528254494124653
484,-13.327278208470101
485,-24.026922376816344
486,1.3695595472903186
487,-24.174513703566085
488,-23.035735412771835
489,-18.42224884500341
490,1.5062584591041208
491,1.5115876158135642
492,-21.801994287682483
493,1.6073237464236598
494,2.132445098047441
495,-21.108614150643472
496,-7.828128444508096
497,-21.881674924045456
498,-79.63337881342439
499,-6.859079025723052
500,-7.791230092966348
501,-5.2078486506556665
502,-0.7510243073545269
503,-26.025325306974416
504,-166.77144105699512
505,-163.88126157766055
506,-162.88296779750038
507,-21.19919299179002
508,0.49290214146823885
509,-23.617460173767213
510,-4.057494294570308
511,-16.6788846860765
512,-19.059728918933338
513,1.239108661514507
514,6.53476888972887
515,-157.984186699389
516,-21.699277018298304
517,-23.47911387270442
518,-24.773432734255252
519,-20.116468760065978
520,-149.7217632492903
521,4.2815884722285595
522,-22.85329119131049
523,-1.3830244893003254
524,-1.241343462122181
525,1.0614369806185096
526,1.362053810901834
527,-26.8795800784923
528,1.3660553496545589
529,-9.240336361652083
530,-20.65982989851833
531,1.5292793661923199
532,1.3775359793918014
533,-23.005543556986357
534,-24.211328765766282
535,1.620569859795534
536,-136.56667199032248
537,-168.81330094645318
538,1.4458542929977334
539,1.3197551757930412
540,1.3305674119510513
541,-23.7011040822033
542,-17.26334411002869
543,-22.30626523778924
544,1.1783645359791528
545,-31.747906056433234
546,5.412783938224784
547,-16.786001594053605
548,2.7853566021905074
549,1.4737897433405465
550,-166.67664954944908
551,-10.575368086429469
552,-50.70621176864214
553,-24.546480515341344
554,-166.84499101318883
555,-169.2802382156076
556,-166.9139068507405
557,-168.3487752102136
558,-15.942510287165211
559,-166.8651322481164
560,-168.60347053612176
561,-149.29584803611033
562,-165.90188819108647
563,-164.58412566723018
564,-167.0009884586543
565,-150.90849546850507
566,-115.08606271653036
567,-164.58391127519005
568,-167.68399227824187
569,-149.261066115196
570,-166.64968331231967
571,-166.0574552926036
572,-167.09345519002767
573,-162.94603007190287
574,-166.51256891408448
575,-168.3997382421585
576,-148.52459922426533
577,-166.22790676318385
578,-166.99075806416806
579,-116.85462668400604
580,-167.7027143259071
581,-165.14593134826092
582,-167.66063449920412
583,-167.16883221143894
584,-164.2925722425874
585,-164.52414844088273
586,-166.23679424657163
587,-165.98525413127538
588,-167.51032103082798
589,-163.64381097637585
590,-165.02902646295132
591,-166.79793900628164
592,-167.43201865661834
593,-165.84923428941477
594,-167.0641944282897
595,-151.65965036732456
596,-164.18897157111527
597,-168.45679463435553
598,-168.83207223641608
599,-149.31516837510102
600,-166.19036914020973
