time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.9016061409490036e-07,-2.2854853050570684e-08,10.004918249842934,6.283156560531211,0.00025618953208805806,0.0,-2.5217992354912937e-05,-2.344484931701359e-06,0.16393154233184273,-0.0014550628380440114,0.011674211889517512,0.0,456.361535843148,457.29218626259177,456.7002174070743,456.58417803443024
0.12000000000000001,-1.0650949755599148e-05,-1.1942298301059794e-06,10.018420939758366,6.282766673756591,0.0014480491127875084,0.0,-0.0004236039953943647,-5.9056813241804056e-05,0.2861346317220215,-0.019212143293383152,0.03259588311527615,0.0,442.35194552731014,444.0711427811903,445.37396249411614,443.91959143786414
0.18,-8.062497395365363e-05,-2.0235135120945457e-05,10.04232158869343,6.2815003974045265,0.0037204521652745015,0.0,-0.0021653288225853525,-0.0007208879223024539,0.5104792889655525,-0.02518661699094005,0.04675539437304569,0.0,473.9444081830061,475.0318367112071,475.4076830194591,474.9497926258041
0.23999999999999996,-0.0003079880521732484,-0.00010792587770759016,10.077912594121791,6.279994680387929,0.0074751542432647256,0.0,-0.005791741797467078,-0.0023704312501792555,0.6758016937446516,-0.02491326328611428,0.08316605047227096,0.0,455.4628135257938,458.36757620613923,457.9839696456289,458.00562360011617
0.3,-0.0008573614420561228,-0.0003336261544202504,10.124849705559535,6.278351071645126,0.012231972240570599,0.0,-0.013099721440788331,-0.005338047365011023,0.8886213415287307,-0.032882334767650165,0.07008901124187832,0.0,472.2012703415846,471.1961303026553,472.3042388277743,471.6891602517232
0.36000000000000004,-0.0019528355517594697,-0.0007774533904956701,10.184249766374245,6.276180663677636,0.016873231278480283,0.0,-0.023935673287655952,-0.009696880284741832,1.0912006131793146,-0.04373569925267018,0.0889219268533508,0.0,467.9688088449327,469.43658791955426,470.0357218154549,469.19342447644203
0.4200000000000001,-0.0037335600404931587,-0.001503735027001125,10.25135524125305,6.273604276555748,0.022162692009566776,0.0,-0.03592692453483981,-0.01475966256103497,1.1455836735765081,-0.04139410843121302,0.0865847486980635,0.0,423.7396632183114,423.5455994188474,423.13285897909464,423.3332512253669
0.48000000000000015,-0.006389725776378715,-0.002606367701065277,10.32407712121628,6.271383101414234,0.027169768078314505,0.0,-0.05315472888078551,-0.022243301743187154,1.2783235274206641,-0.029459429079256798,0.07630878602752485,0.0,450.3996154829015,449.5734127117252,446.64550849330163,447.6170294710815
0.5400000000000001,-0.010140024147059817,-0.004183460892627353,10.403121552774206,6.2697739864542115,0.03209718804056916,0.0,-0.07232413210756466,-0.03049149126053698,1.3563847128803213,-0.022001180550689118,0.09175791101449901,0.0,430.1392789340875,431.45110193265305,432.15613728763867,432.7840852812591
0.6000000000000002,-0.015112213784573648,-0.006273635208149217,10.485933561911983,6.268431140484081,0.03792000801620521,0.0,-0.09394913072393486,-0.039305428312753715,1.4039369448382348,-0.0231508676846457,0.10594144188846068,0.0,420.69775717890855,421.9324743683011,422.6037676810228,422.50461192168314
0.6600000000000003,-0.021504184038188007,-0.008921701243713338,10.571809798906214,6.267022355910672,0.044253447401024104,0.0,-0.11971864194019667,-0.049095347074203564,1.4585078686507709,-0.024145660618595507,0.1047784754637804,0.0,424.2635858101688,424.17406166773935,424.6766476423462,424.59123393387625
0.7200000000000003,-0.0298061426532512,-0.012271575905132046,10.666255556307148,6.265578712163483,0.04996698638209729,0.0,-0.15775015627828462,-0.06273695432839829,1.6893308809870167,-0.023891424770865567,0.05756959856264558,0.0,480.14200571165907,476.5534916457924,479.54364581328497,479.5629296102958
0.7800000000000004,-0.040253264455816694,-0.016381457522084555,10.76934006023814,6.264808912537077,0.05340001826799057,0.0,-0.1908130453278265,-0.07435689454806158,1.7467110303661242,0.0031833842372266906,0.0565032197366487,0.0,426.7697233619564,426.6811002633043,424.7916856589063,427.1069656710621
0.8400000000000004,-0.053023300250072625,-0.021290244456338092,10.880899377438057,6.264456945075942,0.05630063411186459,0.0,-0.23522686145969948,-0.08925483525148725,1.9715461903600593,-0.03831853086819495,0.02225918689909505,0.0,479.6531241360166,477.0467154972132,479.54881668737244,476.3861320431859
0.9000000000000005,-0.06835831994901513,-0.027058365640510118,11.00309622255101,6.262455144846694,0.05736612487030879,0.0,-0.2760586933284334,-0.10323861330352696,2.1014347627045904,-0.024945194378618474,0.006753120875577388,0.0,451.8495727189039,450.5977925407998,449.16204140129787,450.2447787354163
0.9600000000000005,-0.0862367083171184,-0.03373282342392178,11.13436527740945,6.260697021978917,0.05784062184874017,0.0,-0.31992026921650674,-0.11941776705659043,2.2738601168857446,-0.039870394730974736,0.010123975888242183,0.0,465.1300143471102,465.3937969290939,463.234727731608,462.0593830986705
1.0200000000000005,-0.10650055805292703,-0.04131965738111845,11.271528018492395,6.2585171395594585,0.05818824926183286,0.0,-0.35558589848337974,-0.13368245673783316,2.2981695100507396,-0.03005735046781503,-0.004697678870685472,0.0,417.9119878760817,416.618038645269,417.97633995493584,418.8299412478275
1.0800000000000005,-0.1293620358696645,-0.04999504536908873,11.417934289737975,6.256975744019016,0.05817934837705785,0.0,-0.40641421688888363,-0.15569673066912895,2.581429978452721,-0.018139709666570424,0.007675245852643348,0.0,496.79952322567846,497.7058827969108,496.24123383651875,497.1151742845445
